id baseMean baseMeanA baseMeanB foldChange log2FoldChange pval padj
CARHR002510 2.1468752998323 1.34448553502888 2.94926506463572 2.19360118632468 1.13330125645601 0.424394890506033 1
CARHR002520 10.0751966127394 9.57231652722892 10.5780766982499 1.10506967338157 0.144137332759925 0.854333617091813 1
CARHR002530 77.4404392887284 72.9755087571576 81.9053698202991 1.12236791788404 0.166545676213086 0.458295550182169 1
CARHR002540 111.937108846862 108.033228630514 115.84098906321 1.07227184202186 0.100670703761466 0.636091419584348 1
CARHR002550 79.0153185848354 79.990576464193 78.0400607054778 0.975615680684733 -0.0356151487004778 0.900096888595935 1
CARHR002560 41.0323368457884 39.0432180370692 43.0214556545077 1.1018931793394 0.139984371724878 0.61991897312368 1
CARHR002570 29.837809057172 27.0579811738882 32.6176369404558 1.20547193564954 0.269598064237383 0.426349936293962 1
CARHR002580 89.5873090085639 85.164858692384 94.0097593247439 1.10385622389521 0.142552274850461 0.516495985147279 1
CARHR002590 114.391527728694 126.417010225655 102.366045231732 0.8097489811617 -0.304453347086274 0.13176683335932 1
CARHR002600 5.16773915440968 3.66855198330968 6.66692632550969 1.81731821052048 0.861811056085636 0.300249083406536 1
