PF00318	IPR001865
PF00508	IPR001866
PF00486	IPR001867
PF01289	IPR001869
PF01252	IPR001872
PF00858	IPR001873
PF01220	IPR001874
PF01335	IPR001875
PF00641	IPR001876
PF00098	IPR001878
PF16588	IPR001878
PF02793	IPR001879
PF07645	IPR001881
PF01359	IPR001888
PF00693	IPR001889
PF01985	IPR001890
PF00416	IPR001892
PF00839	IPR001893
PF00617	IPR001895
PF01307	IPR001896
PF00939	IPR001898
PF00584	IPR001901
PF00974	IPR001903
PF01397	IPR001906
PF01352	IPR001909
PF01156	IPR001910
PF01165	IPR001911
PF00163	IPR001912
PF01309	IPR001913
PF01435	IPR001915
PF00062	IPR001916
PF00553	IPR001919
PF00291	IPR001926
PF00322	IPR001928
PF01249	IPR001931
PF00481	IPR001932
PF07228	IPR001932
PF00616	IPR001936
PF00314	IPR001938
PF02151	IPR001943
PF00451	IPR001947
PF02127	IPR001948
PF01253	IPR001950
PF00245	IPR001952
PF00159	IPR001955
PF00942	IPR001956
PF01385	IPR001959
PF00733	IPR001962
PF00434	IPR001963
PF01659	IPR001964
PF00768	IPR001967
PF00411	IPR001971
PF01020	IPR001975
PF01282	IPR001976
PF01121	IPR001977
PF00992	IPR001978
PF01536	IPR001985
PF00275	IPR001986
PF01271	IPR001990
PF00375	IPR001991
PF01299	IPR002000
PF01304	IPR002003
PF00658	IPR002004
PF00906	IPR002006
PF01318	IPR002009
PF01311	IPR002010
PF00446	IPR002012
PF02383	IPR002013
PF00790	IPR002014
PF01851	IPR002015
PF00141	IPR002016
PF00435	IPR002017
PF00135	IPR002018
PF00699	IPR002019
PF00285	IPR002020
PF00973	IPR002021
PF00544	IPR002022
PF00547	IPR002026
PF00290	IPR002028
PF00902	IPR002033
PF00092	IPR002035
PF13519	IPR002035
PF13768	IPR002035
PF02130	IPR002036
PF01270	IPR002037
PF00865	IPR002038
PF01014	IPR002042
PF00686	IPR002044
PF00036	IPR002048
PF13202	IPR002048
PF13405	IPR002048
PF13499	IPR002048
PF13833	IPR002048
PF00053	IPR002049
PF01183	IPR002053
PF02064	IPR002056
PF03828	IPR002058
PF00313	IPR002059
PF00494	IPR002060
PF00537	IPR002061
PF00011	IPR002068
PF00714	IPR002069
PF00243	IPR002072
PF00233	IPR002073
PF02136	IPR002075
PF01151	IPR002076
PF00158	IPR002078
PF14532	IPR002078
PF01141	IPR002079
PF00917	IPR002083
PF01340	IPR002084
PF07742	IPR002087
PF01239	IPR002088
PF00599	IPR002089
PF00940	IPR002092
PF00634	IPR002093
PF00319	IPR002100
PF02063	IPR002101
PF00963	IPR002102
PF00589	IPR002104
PF00404	IPR002105
PF01452	IPR002107
PF00241	IPR002108
PF00462	IPR002109
PF00023	IPR002110
PF13606	IPR002110
PF01372	IPR002116
PF00570	IPR002121
PF01553	IPR002123
PF01215	IPR002124
PF00383	IPR002125
PF00028	IPR002126
PF01010	IPR002128
PF00282	IPR002129
PF00160	IPR002130
PF00573	IPR002136
PF00506	IPR002141
PF01343	IPR002142
PF01402	IPR002145
PF00430	IPR002146
PF00981	IPR002148
PF01197	IPR002150
PF02158	IPR002154
PF00075	IPR002156
PF01122	IPR002157
PF01130	IPR002159
PF00197	IPR002160
PF01174	IPR002161
PF00956	IPR002164
PF01437	IPR002165
PF00998	IPR002166
PF01752	IPR002169
PF00057	IPR002172
PF02075	IPR002176
PF00359	IPR002178
PF00885	IPR002180
PF00147	IPR002181
PF00931	IPR002182
PF02059	IPR002183
PF02175	IPR002184
PF00960	IPR002186
PF00543	IPR002187
PF01267	IPR002189
PF01454	IPR002190
PF01313	IPR002191
PF01326	IPR002192
PF00959	IPR002196
PF02954	IPR002197
PF00964	IPR002200
PF01075	IPR002201
PF00368	IPR002202
PF00521	IPR002205
PF00344	IPR002208
PF00167	IPR002209
PF00500	IPR002210
PF00201	IPR002213
PF00846	IPR002214
PF01134	IPR002218
PF00130	IPR002219
PF00701	IPR002220
PF00203	IPR002222
PF00014	IPR002223
PF01073	IPR002225
PF00264	IPR002227
PF16499	IPR002241
PF02065	IPR002252
PF01733	IPR002259
PF03509	IPR002266
PF00986	IPR002288
PF13520	IPR002293
PF00133	IPR002300
PF00579	IPR002305
